Date,SP 500 Change %,UST 2yr Change %,UST 10yr Change %,Euro Bond Vol.,Euro Bond Change %,Gold Vol.,Gold Change %,Crude Oil Vol.,Crude Oil Change %,Dollar Index Vol.,Dollar Index Change %,VIX Change %,UST 10yr Direction
2009-02-06,0.0269,0.0328,0.0236,645.77,-0.002,0.33,0.0003,518.38,-0.0243,5.32,-0.0083,-0.0082,1
2009-02-09,0.0015,0.0079,0.0017,439.35,-0.0025,0.98,-0.0235,317.5,-0.0152,5.4,-0.0069,0.0062,1
2009-02-10,-0.0491,-0.1143,-0.0581,809.03,0.0052,0.25,0.0239,359.67,-0.0508,5.2,0.0128,0.0694,0
2009-02-11,0.008,0.0178,-0.022,891.87,0.0116,0.89,0.0329,315.65,-0.0429,5.14,-0.0001,-0.0459,0
2009-02-12,0.0017,0.0044,0.0112,872.01,0.0079,0.34,0.005,326.18,-0.0545,10.71,0.0091,-0.0737,1
2009-02-13,-0.01,0.0533,0.0384,573.3,-0.0018,0.14,-0.0074,281.71,0.1039,4.21,-0.0067,0.0407,1
2009-02-17,-0.0456,-0.1043,-0.0583,746.31,0.0046,1.64,0.0271,153.71,-0.0688,6.72,0.011,0.1335,0
2009-02-18,-0.001,0.1119,0.0434,826.94,-0.0003,0.42,0.0111,73.86,-0.0089,5.5,0.0047,-0.0041,1
2009-02-19,-0.012,0.0218,0.0329,808.59,-0.008,0.2,-0.0016,82.55,0.1404,4.7,-0.0066,-0.0285,1
2009-02-20,-0.0114,-0.0203,-0.0228,698.46,0.0063,0.22,0.0263,25.55,-0.0137,8.44,-0.012,0.0472,0
2009-02-23,-0.0347,-0.0259,-0.0133,516.7,-0.0006,0.22,-0.0072,285.91,-0.0128,6.05,0.0084,0.0673,0
2009-02-24,0.0401,0.067,0.0185,622.21,0.0022,0.24,-0.0256,238.19,0.0395,3.97,-0.0043,-0.1355,1
2009-02-25,-0.0107,0.0897,0.0424,574.76,0.001,0.22,-0.0035,323.43,0.0636,5.16,0.0123,-0.018,1
2009-02-26,-0.0158,0.0,0.0256,785.33,-0.0109,0.69,-0.0247,287.2,0.064,3.21,-0.0028,-0.0002,1
2009-02-27,-0.0236,-0.1016,0.007,713.02,0.002,0.73,-0.0003,274.58,-0.0102,6.28,0.0031,0.0378,1
2009-03-02,-0.0466,-0.1049,-0.052,704.0,0.0053,0.47,-0.0027,245.23,-0.103,4.54,0.0104,0.1359,0
2009-03-03,-0.0064,0.0137,0.0077,846.32,-0.0001,0.36,-0.0278,241.54,0.0374,8.76,-0.0006,-0.0327,1
2009-03-04,0.0238,0.0584,0.0319,1.15,-0.0065,0.16,-0.0076,319.76,0.0896,5.37,-0.0036,-0.0662,1
2009-03-05,-0.0425,-0.0551,-0.0554,595.92,0.0071,0.14,0.0232,228.19,-0.039,4.41,0.0056,0.0549,0
2009-03-06,0.0012,0.0673,0.0213,30.21,0.008,0.31,0.0163,306.35,0.0438,12.26,-0.0073,-0.0167,1
2009-03-09,-0.01,0.0126,-0.0042,561.77,-0.0104,0.84,-0.0259,390.59,0.0341,9.35,0.0051,0.0071,0
2009-03-10,0.0637,0.08,0.0528,617.62,-0.0049,0.12,-0.0241,289.16,-0.0289,12.34,-0.0007,-0.1069,1
2009-03-11,0.0024,-0.0154,-0.0339,767.9,-0.0056,0.22,0.0165,339.88,-0.0739,9.67,-0.0119,-0.0171,0
2009-03-12,0.0407,-0.0117,-0.0162,662.3,0.0053,0.12,0.0146,316.57,0.111,5.45,-0.0025,-0.0557,0
2009-03-13,0.0077,-0.0435,0.0115,794.17,-0.0036,0.07,0.0066,221.03,-0.0166,2.93,-0.0024,0.0287,1
2009-03-16,-0.0035,0.0465,0.0211,538.54,-0.0065,0.14,-0.0088,240.08,0.0238,0.21,-0.0065,0.0326,1
2009-03-17,0.0321,0.0197,0.0186,824.31,-0.0048,0.05,-0.0056,214.93,0.0382,3.93,0.0052,-0.0672,1
2009-03-18,0.0209,-0.1965,-0.1544,856.97,-0.0029,0.12,-0.0302,125.34,-0.0207,9.26,-0.0271,-0.0181,0
2009-03-19,-0.013,0.0446,0.0251,1.03,0.0138,0.36,0.0783,96.38,0.0721,10.84,-0.0158,0.0904,1
2009-03-20,-0.0198,0.0138,0.0084,649.76,0.0053,0.02,-0.0026,25.55,-0.0107,7.25,0.0084,0.0506,1
2009-03-23,0.0708,0.0228,0.008,572.29,-0.004,0.03,-0.0039,229.89,0.0537,7.29,-0.0046,-0.058,1
2009-03-24,-0.0204,0.0367,0.0211,753.39,-0.0085,1.49,-0.0302,212.79,0.0033,7.1,0.0045,-0.0069,1
2009-03-25,0.0096,0.0279,0.0306,687.44,-0.0002,0.1,0.0131,283.73,-0.0224,6.86,-0.0004,-0.0158,1
2009-03-26,0.0233,-0.0407,-0.0175,534.56,0.0005,0.07,0.0045,196.92,0.0298,3.26,0.0037,-0.0447,0
2009-03-30,-0.0348,-0.0767,-0.0145,558.63,0.0049,58.84,-0.0081,222.17,-0.0758,3.78,0.0084,0.1096,0
2009-03-31,0.0131,-0.0596,-0.0202,518.71,0.0019,7.4,0.0078,240.25,0.0258,4.17,-0.0047,-0.0307,0
2009-04-01,0.0166,0.01,-0.006,572.5,-0.0004,3.66,0.0038,234.22,-0.0256,3.75,0.0008,-0.0421,0
2009-04-02,0.0287,0.0973,0.0479,1.02,-0.0116,3.39,-0.0202,270.27,0.0878,6.13,-0.0124,-0.0057,1
2009-04-03,0.0097,0.0763,0.0417,667.81,-0.0054,1.62,-0.013,212.17,-0.0025,3.32,-0.0039,-0.0557,1
2009-04-06,-0.0083,-0.0042,0.0128,520.81,-0.0004,1.08,-0.0269,228.98,-0.0278,4.15,0.0061,0.031,1
2009-04-07,-0.0239,-0.0377,-0.0109,454.82,-0.0007,0.4,0.0123,254.03,-0.0372,5.16,0.0069,-0.0132,0
2009-04-08,0.0118,0.0174,-0.0138,469.16,0.0012,0.12,0.0029,352.61,0.0047,4.05,0.0005,-0.0381,0
2009-04-09,0.0381,0.031,0.0238,518.13,-0.0039,0.36,-0.0029,294.84,0.0579,5.11,0.0043,-0.0597,1
2009-04-14,-0.0201,-0.0228,-0.0255,434.72,0.004,0.36,-0.0042,284.71,-0.0128,2.54,-0.0001,-0.0037,0
2009-04-15,0.0125,0.0,-0.0065,537.56,0.0052,0.67,0.0021,228.06,-0.0032,3.15,0.0051,-0.0398,0
2009-04-16,0.0155,0.0559,0.0245,520.96,-0.0024,0.63,-0.0151,196.96,0.0148,3.3,0.0016,-0.0105,1
2009-04-17,0.005,0.0816,0.0391,510.35,-0.0069,0.21,-0.0135,137.02,0.007,6.94,0.0093,-0.0517,1
2009-04-20,-0.0428,-0.0622,-0.0346,610.28,0.0089,0.66,0.0226,89.9,-0.0884,9.88,0.0079,0.1544,0
2009-04-21,0.0213,0.0217,0.0186,879.58,0.0024,0.23,-0.0055,23.86,0.0137,4.85,-0.001,-0.0521,1
2009-04-22,-0.0077,0.0309,0.0131,850.14,-0.0069,0.33,0.011,238.73,0.0503,3.58,-0.0047,0.0258,1
2009-04-23,0.0099,-0.0341,-0.0037,686.61,-0.0014,0.23,0.0158,227.3,0.0158,5.77,-0.0084,-0.0249,0
2009-04-24,0.0168,0.031,0.0236,570.46,0.0024,0.44,0.0085,230.87,0.0389,8.84,-0.0097,-0.0089,1
2009-04-27,-0.0101,-0.085,-0.028,627.34,0.0026,1.18,-0.0068,265.29,-0.0274,4.3,0.0118,0.0407,0
2009-04-28,-0.0027,0.0759,0.0364,584.39,0.0015,0.11,-0.0161,186.82,-0.0044,4.09,-0.0069,-0.0097,1
2009-04-29,0.0216,0.0042,0.0288,860.35,0.001,0.81,0.0078,234.83,0.021,7.2,-0.0079,-0.0493,1
2009-04-30,-0.001,-0.0451,0.0039,731.56,-0.0045,0.21,-0.0101,208.3,0.0029,3.98,0.0014,0.0116,1
2009-05-04,0.0339,0.0353,-0.0022,343.08,-0.0042,0.08,0.0158,229.78,0.0239,5.34,-0.007,-0.0218,0
2009-05-05,-0.0038,0.0298,0.006,545.8,0.0027,0.07,0.0023,234.31,-0.0116,4.31,0.0021,-0.0339,1
2009-05-06,0.0174,-0.0041,-0.0044,708.45,-0.0021,0.03,0.0075,334.3,0.0464,3.9,-0.0042,-0.0273,0
2009-05-07,-0.0132,0.0415,0.0586,1.16,-0.0095,0.06,0.0049,377.83,0.0066,5.59,0.002,0.0305,1
2009-05-08,0.0241,-0.0199,-0.0153,600.28,-0.0051,0.16,-0.0007,291.82,0.0339,7.44,-0.0174,-0.0416,0
2009-05-11,-0.0215,-0.0855,-0.0344,610.87,0.0047,0.0,-0.0015,290.03,-0.0022,4.27,0.0019,0.0256,0
2009-05-12,-0.001,-0.0089,0.0006,632.15,-0.0021,0.02,0.0115,305.96,0.006,6.69,-0.0045,-0.0326,1
2009-05-13,-0.0269,-0.0224,-0.0208,725.04,0.0058,0.07,0.0022,311.8,-0.0141,6.17,0.0025,0.0582,0
2009-05-14,0.0104,-0.023,-0.0064,759.39,0.0031,0.0,0.0027,260.46,0.0103,4.77,-0.0031,-0.0678,0
2009-05-15,-0.0114,0.0094,0.0136,620.85,-0.0046,0.05,0.0031,216.09,-0.0389,5.9,0.0095,0.0558,1
2009-05-18,0.0304,0.0652,0.0341,449.58,0.0016,0.07,-0.0103,134.71,0.0477,4.2,-0.0048,-0.087,1
2009-05-20,-0.0051,-0.0595,-0.0154,729.27,0.0002,0.07,0.0116,270.02,0.0401,7.66,-0.0119,0.008,0
2009-05-21,-0.0168,0.0394,0.0541,659.57,0.0054,0.07,0.0147,237.41,-0.016,11.57,-0.0054,0.0799,1
2009-05-22,-0.0015,0.0276,0.0243,513.33,-0.0077,0.01,0.0081,186.3,0.0102,11.52,-0.0073,0.0408,1
2009-05-26,0.0263,0.0235,0.0281,678.9,0.0,0.02,-0.0056,267.13,0.0126,7.26,0.0011,-0.0616,1
2009-05-27,-0.019,0.0764,0.0538,695.11,-0.0019,0.07,0.0001,261.89,0.016,7.24,0.0026,0.0568,1
2009-05-28,0.0154,-0.0243,-0.0337,723.29,-0.0018,74.26,0.0087,281.44,0.0257,5.64,0.0011,-0.0213,0
2009-05-29,0.0136,-0.0405,-0.0418,699.88,0.0029,7.61,0.018,261.37,0.0189,8.64,-0.0133,-0.0868,0
2009-06-01,0.0258,0.0336,0.0633,460.81,-0.0045,2.88,-0.0002,234.08,0.0342,6.52,-0.0034,0.0387,1
2009-06-02,0.002,-0.0042,-0.0182,831.47,0.0002,2.35,0.0047,266.86,-0.0004,6.81,-0.0087,-0.0136,0
2009-06-03,-0.0137,-0.0411,-0.0213,1.29,0.0069,1.19,-0.019,322.37,-0.0354,8.02,0.0136,0.0469,0
2009-06-04,0.0115,0.0571,0.0509,1.24,-0.0049,0.6,0.0173,304.67,0.0407,12.13,-0.0011,-0.0271,1
2009-06-05,-0.0025,0.3458,0.0334,416.75,-0.0075,0.71,-0.0199,329.26,-0.0054,9.69,0.0161,-0.0186,1
2009-06-08,-0.001,0.0972,0.0148,30.99,0.0014,0.58,-0.0104,289.28,-0.0051,13.35,0.003,0.0051,1
2009-06-09,0.0035,-0.0788,-0.0074,600.59,0.0008,0.68,0.0024,316.88,0.0282,8.68,-0.0141,-0.0504,0
2009-06-10,-0.0035,0.0374,0.0204,631.65,-0.0033,0.7,0.0,346.25,0.0189,18.49,0.0065,0.0067,1
2009-06-11,0.0061,-0.0265,-0.0215,585.14,-0.0023,0.58,0.0077,314.79,0.0189,13.03,-0.0113,-0.0123,0
2009-06-12,0.0014,-0.0385,-0.0153,492.51,0.005,0.17,-0.0221,224.6,-0.0088,3.3,0.0094,0.0014,0
2009-06-15,-0.0238,-0.0346,-0.0231,564.92,0.0081,0.26,-0.014,242.21,-0.0197,0.46,0.0086,0.0945,0
2009-06-16,-0.0127,-0.0366,-0.014,642.71,-0.0008,0.15,0.0051,266.35,-0.0021,4.56,0.0033,0.0607,0
2009-06-17,-0.0014,-0.0169,0.0074,634.23,0.004,0.03,0.0041,265.58,0.0079,5.21,-0.0068,-0.0349,1
2009-06-18,0.0084,0.0748,0.0379,715.87,-0.0048,0.09,-0.0015,178.85,0.0048,5.44,0.0054,-0.0479,1
2009-06-19,0.0031,-0.0384,-0.0149,616.93,0.0034,0.07,0.0017,115.71,-0.0255,5.39,-0.0047,-0.0679,0
2009-06-22,-0.0306,-0.0574,-0.0233,551.92,0.0041,0.13,-0.016,32.07,-0.0377,5.26,0.0063,0.1136,0
2009-06-23,0.0023,-0.0327,-0.0163,688.62,0.0004,0.18,0.0036,279.9,0.0345,9.71,-0.0119,-0.0189,0
2009-06-24,0.0065,0.1095,0.0177,629.54,0.0008,0.59,0.011,242.86,-0.0082,6.33,0.0088,-0.05,1
2009-06-25,0.0214,-0.0748,-0.0393,682.73,0.0025,0.07,0.0054,254.94,0.0227,6.05,-0.0023,-0.0926,0
2009-06-26,-0.0015,-0.0142,-0.0042,498.16,0.0027,0.06,0.0017,208.03,-0.0152,8.33,-0.0072,-0.0163,0
2009-06-29,0.0091,-0.0072,-0.0136,411.06,0.0016,0.45,-0.0003,229.88,0.0337,5.01,0.0001,-0.0224,0
2009-06-30,-0.0085,0.0145,0.0161,659.39,-0.0006,0.13,-0.0141,331.55,-0.0224,7.74,0.0039,0.0394,1
2009-07-01,0.0044,-0.06,0.0031,631.97,-0.0013,0.09,0.015,304.64,-0.0083,6.79,-0.0068,-0.0049,1
2009-07-02,-0.0291,-0.0619,-0.013,783.19,0.006,0.07,-0.0109,243.25,-0.0372,0.19,0.0063,0.066,0
2009-07-06,0.0026,-0.0365,0.0023,426.47,0.0032,0.11,-0.0072,256.99,-0.0402,5.28,0.0004,0.0376,1
2009-07-07,-0.0197,0.0211,-0.016,534.27,-0.0017,0.06,0.0052,262.36,-0.0175,4.83,0.0021,0.0638,0
2009-07-08,-0.0017,-0.0537,-0.0428,595.83,0.0034,0.04,-0.0213,334.96,-0.0443,4.72,0.0017,0.0146,0
2009-07-09,0.0035,0.0174,0.0324,649.84,-0.0015,0.07,0.0076,314.8,0.0045,7.59,-0.0118,-0.0486,1
2009-07-10,-0.004,-0.0354,-0.0319,426.3,0.0028,0.04,-0.004,264.75,-0.0086,3.88,0.0047,-0.0255,0
2009-07-13,0.0249,0.0,0.0169,358.94,-0.0002,0.03,0.011,301.91,-0.0033,3.39,-0.0016,-0.0934,1
2009-07-14,0.0053,0.0478,0.0339,633.57,-0.0032,0.06,0.0003,305.95,-0.0028,4.6,0.0009,-0.049,1
2009-07-15,0.0296,0.0859,0.0403,645.43,-0.0044,0.07,0.018,279.73,0.0339,12.13,-0.0113,0.0348,1
2009-07-16,0.0086,-0.0439,-0.0113,711.34,0.001,0.06,-0.0043,250.04,0.0078,4.08,-0.0011,-0.0182,0
2009-07-17,-0.0004,0.0123,0.0213,644.46,-0.0027,0.03,0.0022,186.32,0.0248,3.09,0.0017,-0.0425,1
2009-07-20,0.0114,-0.0172,-0.0101,584.87,-0.0017,0.01,0.0121,125.15,0.0066,7.36,-0.0057,0.0025,0
2009-07-21,0.0036,-0.0544,-0.0354,662.13,0.0026,0.02,-0.002,32.22,0.0116,6.27,0.0005,-0.0217,0
2009-07-22,-0.0005,0.0217,0.0172,686.26,0.0004,0.07,0.0068,319.99,0.0105,7.02,-0.0029,-0.0168,1
2009-07-23,0.0233,0.0829,0.0322,833.32,-0.0063,0.05,0.0016,321.63,0.0269,6.2,0.0014,-0.0017,1
2009-07-24,0.003,-0.0128,0.0005,584.37,-0.0018,0.08,-0.0018,217.27,0.0133,2.72,-0.0009,-0.0145,1
2009-07-27,0.003,0.0318,0.0178,598.83,-0.0002,0.01,0.0005,245.18,0.0048,4.81,-0.0018,0.0515,1
2009-07-28,-0.0026,0.0405,-0.0105,672.47,0.0039,0.01,-0.015,253.56,-0.0168,5.97,0.0031,0.0301,0
2009-07-30,0.0119,0.0069,-0.0134,649.78,-0.0001,36.62,0.0083,344.22,0.0567,4.15,-0.0048,-0.0082,0
2009-07-31,0.0007,-0.0537,-0.0368,822.79,0.0101,10.75,0.0201,400.84,0.0375,9.6,-0.012,0.0205,0
2009-08-03,0.0153,0.0648,0.0445,638.66,-0.0034,2.6,0.003,323.46,0.0307,8.88,-0.0089,-0.0139,1
2009-08-04,0.003,0.0178,0.0137,634.13,-0.0002,0.57,0.0114,285.88,-0.0022,5.56,0.0017,-0.0262,1
2009-08-05,-0.0029,0.0133,0.0203,821.05,0.0007,0.74,-0.0034,307.55,0.0077,5.9,-0.0035,0.0004,1
2009-08-06,-0.0056,-0.0131,-0.0016,839.53,-0.002,0.54,-0.0036,328.67,-0.0004,4.71,0.0071,0.0309,0
2009-08-07,0.0134,0.0847,0.0261,713.54,-0.0096,0.64,-0.0035,367.02,-0.014,13.1,0.0122,-0.0354,1
2009-08-10,-0.0033,-0.049,-0.0213,392.96,0.0007,0.4,-0.0128,304.09,-0.0047,7.57,0.0035,0.0093,0
2009-08-11,-0.0127,-0.0523,-0.0265,562.01,0.0012,0.11,0.0008,389.08,-0.0163,3.61,-0.0013,0.04,0
2009-08-12,0.0115,-0.0204,0.0106,566.24,0.0013,0.1,0.0052,342.27,0.0102,6.27,-0.0049,-0.0208,1
2009-08-13,0.0069,-0.052,-0.0307,683.28,0.0017,0.1,0.0042,322.97,0.0051,6.76,-0.0041,-0.0291,0
2009-08-14,-0.0085,-0.0256,-0.007,588.55,0.0085,0.14,-0.0081,320.14,-0.0427,5.58,0.0054,-0.0178,0
2009-08-17,-0.0243,-0.0498,-0.028,542.93,0.0029,0.13,-0.0134,264.79,-0.0113,8.65,0.005,0.1492,0
2009-08-18,0.0101,0.0158,0.013,538.4,-0.0006,0.28,0.0036,182.99,0.0366,4.37,-0.0046,-0.0613,1
2009-08-19,0.0069,-0.035,-0.0176,645.29,0.0041,0.19,0.006,126.68,0.0467,8.98,-0.0062,0.0031,0
2009-08-20,0.0109,0.0,-0.0078,541.46,-0.0012,0.04,-0.0032,35.49,0.0017,3.91,-0.0012,-0.0446,0
2009-08-21,0.0186,0.1028,0.0411,646.8,-0.004,0.05,0.0137,246.23,0.0186,8.76,-0.0045,-0.0032,1
2009-08-24,-0.0005,-0.0676,-0.0266,493.84,-0.0002,0.2,-0.0114,208.7,0.0065,3.02,0.0029,0.0052,0
2009-08-25,0.0024,-0.0078,-0.0104,544.85,0.0035,0.14,0.0023,324.4,-0.0312,5.64,-0.0004,-0.0088,0
2009-08-26,0.0001,0.0425,-0.0009,697.81,0.003,0.13,-0.0002,255.5,-0.0086,9.36,0.0054,0.0012,0
2009-08-27,0.0028,-0.0066,0.0052,620.39,-0.0009,0.07,0.0013,272.73,0.0148,10.3,-0.0084,-0.0108,1
2009-08-28,-0.002,-0.0305,-0.0012,500.75,-0.0006,0.18,0.0122,239.22,0.0034,4.03,0.0042,0.0032,0
2009-08-31,-0.0081,-0.0472,-0.0139,310.91,0.0,0.02,-0.0055,276.97,-0.0382,5.33,-0.0021,0.0505,0
2009-09-01,-0.0221,-0.0568,-0.0091,792.08,-0.0002,0.02,0.0032,336.84,-0.0273,12.32,0.0075,0.1207,0
2009-09-02,-0.0033,-0.0131,-0.0181,944.59,0.0024,0.07,0.0229,269.5,0.0,7.24,-0.0047,-0.0086,0
2009-09-03,0.0085,0.0178,0.0118,1.16,-0.0011,0.06,0.0197,231.97,-0.0013,6.35,0.0011,-0.0623,1
2009-09-04,0.0131,0.0164,0.029,1.1,0.0013,0.08,-0.0009,229.78,0.0009,5.46,-0.0045,-0.0679,1
2009-09-08,0.0088,0.0129,0.0104,25.99,-0.0013,0.09,0.003,374.24,0.0453,22.98,-0.0086,0.0143,1
2009-09-09,0.0078,-0.0169,-0.0017,968.87,-0.0185,0.08,-0.0026,331.98,0.003,14.61,-0.0031,-0.0507,0
2009-09-10,0.0104,-0.0431,-0.0348,859.94,0.0035,0.05,0.0001,345.55,0.0088,13.63,-0.0035,-0.0317,0
2009-09-11,-0.0014,0.0214,-0.0015,762.06,0.0059,0.2,0.0095,374.69,-0.0368,4.25,-0.0025,0.0255,0
2009-09-14,0.0063,0.0221,0.0221,501.47,-0.0019,0.09,-0.005,255.72,-0.0062,0.64,0.0012,-0.012,1
2009-09-15,0.0031,0.0129,0.007,821.55,-0.0026,0.12,0.0051,288.04,0.0301,7.71,0.0007,-0.0184,1
2009-09-16,0.0153,0.0564,0.0081,902.23,-0.0026,0.09,0.0138,291.95,0.0223,5.48,-0.004,0.0115,1
2009-09-17,-0.0031,-0.0534,-0.0259,792.87,-0.0025,0.05,-0.0065,235.71,-0.0006,6.67,-0.0006,-0.0017,0
2009-09-18,0.0026,0.065,0.0248,589.48,-0.0002,0.03,-0.0031,165.7,-0.0059,6.79,0.0031,0.0114,1
2009-09-21,-0.0034,-0.016,0.0037,603.49,-0.0007,0.01,-0.0054,142.85,-0.0323,7.26,0.0043,0.0059,1
2009-09-22,0.0066,-0.0295,-0.0112,766.15,-0.0009,0.07,0.0105,31.2,0.0264,5.89,-0.0084,-0.0407,0
2009-09-23,-0.0101,0.001,-0.0081,715.74,0.002,0.21,-0.0012,307.58,-0.0361,7.55,-0.0007,0.0178,0
2009-09-24,-0.0095,-0.0199,-0.0094,873.7,0.0053,0.12,-0.0153,357.46,-0.0447,10.56,0.0107,0.0622,0
2009-09-25,-0.0061,0.0544,-0.018,651.04,0.003,0.07,-0.0073,315.32,0.002,7.52,-0.0013,0.0265,0
2009-09-28,0.0178,-0.0121,-0.0123,551.9,0.0007,0.03,0.0023,231.41,0.0124,8.14,0.0033,-0.0285,0
2009-09-29,-0.0022,0.0246,0.0034,813.29,0.0015,5.74,0.0006,247.35,-0.0019,7.69,0.0012,0.0125,1
2009-09-30,-0.0033,-0.052,0.0039,888.27,0.0011,1.39,0.015,386.69,0.0585,12.13,-0.0065,0.0167,1
2009-10-01,-0.0258,-0.0791,-0.0375,1.05,0.0036,0.21,-0.0084,334.69,0.003,8.96,0.0072,0.1039,0
2009-10-02,-0.0045,0.0,0.0119,938.36,0.0029,0.25,0.0037,312.01,-0.0123,9.41,-0.0026,0.0145,1
2009-10-05,0.0149,0.0046,0.0,515.51,0.0002,0.18,0.0135,346.92,0.0066,3.38,-0.0049,-0.0642,0
2009-10-06,0.0137,0.0308,0.0124,595.25,-0.0022,0.18,0.0215,313.29,0.0067,9.25,-0.0044,-0.0425,1
2009-10-07,0.0027,-0.0487,-0.0224,732.81,0.0029,0.18,0.0045,346.92,-0.0185,3.87,0.0022,-0.0397,0
2009-10-08,0.0075,0.0279,0.0195,591.72,0.0007,0.16,0.0116,405.21,0.0305,14.3,-0.007,-0.0203,1
2009-10-09,0.0056,0.0995,0.0419,997.93,-0.0063,0.18,-0.0072,322.28,0.0011,9.85,0.0064,-0.0438,1
2009-10-13,-0.0028,-0.0751,-0.01,661.31,0.002,0.18,0.0071,361.15,0.012,8.24,-0.0016,-0.0009,0
2009-10-14,0.0175,0.0267,0.0212,896.21,-0.0045,0.14,-0.0003,296.01,0.0139,14.21,-0.0058,-0.0057,1
2009-10-15,0.0042,0.0303,0.012,1.03,-0.0047,0.18,-0.0133,355.57,0.0319,12.87,-0.0009,-0.0499,1
2009-10-16,-0.0081,0.0084,-0.015,767.76,0.0002,0.08,0.0009,238.42,0.0122,12.41,0.0015,-0.0134,0
2009-10-19,0.0094,0.0083,-0.0073,436.37,-0.0013,0.16,0.0063,131.53,0.0138,9.5,-0.0035,0.0028,0
2009-10-20,-0.0062,-0.0496,-0.0136,949.25,0.0043,0.23,0.0005,40.16,-0.0065,12.41,0.003,-0.0275,0
2009-10-21,-0.0089,0.0435,0.0156,983.61,-0.0054,0.04,0.0056,395.74,0.0288,14.02,-0.0082,0.0632,1
2009-10-22,0.0106,-0.0125,0.0083,745.11,0.0002,0.17,-0.0055,295.41,-0.0022,12.71,0.0017,-0.0689,1
2009-10-23,-0.0122,0.0686,0.0213,722.86,-0.0029,0.12,-0.0021,293.75,-0.0085,14.26,0.0048,0.0764,1
